,p1 launch,p1 travel time [ns],p1 d(n sin(angle)),s1 launch,s1 travel time [ns],s1 d(n sin(angle)),p-s delta launch 1,p-s delta t 1 [ns],p2 launch,p2 travel time [ns],p2 d(n sin(angle)),s2 launch,s2 travel time [ns],s2 d(n sin(angle)),p-s delta launch 2,p-s delta t 2 [ns]
0.0,1.0825478038375596,3340.1090856123774,0.11566560650023916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-200.0,0.6307936461390238,4133.290206149762,0.00600882198013486,0.6088004883844178,4194.787336978511,0.00137208854832227,0.021993157754605974,-61.497130828749505,0.0,0.0,0.0,1.3816127548750978,5813.865054824734,0.00137208854832227,0.0,0.0
-400.0,0.911769289119821,5951.683216331145,8.881784197001252e-16,0.887553667943635,6452.437690214486,6.661338147750939e-16,0.02421562117618603,-500.75447388334123,1.3395465467409455,5435.509566768392,8.881784197001252e-16,1.346505451513122,6016.671614411245,6.661338147750939e-16,-0.006958904772176533,-581.1620476428534
-600.0,0.7994323742293276,6783.271127542331,0.0009029426806737018,0.8190465449771777,7236.09649200963,0.0031774104342001674,-0.0196141707478501,-452.82536446729955,1.1801898450736479,5813.104410942022,0.0009029426806737018,1.1819769995222742,6373.675981668882,0.0031774104342001674,-0.0017871544486263158,-560.57157072686
-800.0,0.7294087098395008,7653.375567567026,0.0009780999959947412,0.7357464170464003,8078.085414665088,0.0076351108522709765,-0.006337707206899523,-424.7098470980618,1.0259769262382454,6380.648475286777,0.0009780999959947412,1.026645315432396,6908.980962606012,0.0076351108522709765,-0.000668389194150576,-528.332487319235
-1000.0,0.6563615075837306,8589.333332349603,0.0017695646194595405,0.6622535456406913,8993.31862371253,0.009885113068444085,-0.005892038056960702,-403.98529136292746,0.8936619006165094,7100.358489298584,0.0017695646194595405,0.8939686978190257,7591.152435798962,0.009885113068444085,-0.0003067972025162513,-490.7939465003783
-1200.0,0.7839090809695508,7933.475245661952,6.661338147750939e-16,0.7840685394374527,8385.802452611915,2.220446049250313e-16,-0.00015945846790188511,-452.3272069499635,0.7839090809694859,7933.475245662485,6.661338147750939e-16,0.7840685394373796,8385.802452612485,2.220446049250313e-16,-0.0001594584678937805,-452.3272069499999
-1400.0,0.6937271733350888,8848.883972075413,8.881784197001252e-16,0.6938174219843005,9264.458604370402,0.0,-9.02486492116994e-05,-415.574632294989,0.6937271733350836,8848.883972075473,8.881784197001252e-16,0.6938174219842945,9264.45860437047,0.0,-9.024864921092224e-05,-415.57463229499626
-1600.0,0.6195196400032505,9823.789407812701,6.661338147750939e-16,0.6195741017148589,10205.611424387982,2.220446049250313e-16,-5.4461711608388974e-05,-381.82201657528094,0.6195196400032598,9823.789407812572,6.661338147750939e-16,0.619574101714869,10205.61142438785,2.220446049250313e-16,-5.446171160927715e-05,-381.8220165752773
-1800.0,0.558048229500421,10842.09225036079,1.1102230246251565e-16,0.5580828173111346,11193.58281670547,3.3306690738754696e-16,-3.45878107136377e-05,-351.4905663446789,0.5580482295007193,10842.09225035554,1.1102230246251565e-16,0.5580828173114538,11193.582816700007,3.3306690738754696e-16,-3.4587810734509894e-05,-351.4905663444679
-2000.0,0.5066678253925613,11892.525798640592,1.1102230246251565e-16,0.5066907337548545,12217.057650860117,6.661338147750939e-16,-2.2908362293239115e-05,-324.5318522195248,0.5066678253925068,11892.525798641773,1.1102230246251565e-16,0.506690733754855,12217.057650860108,6.661338147750939e-16,-2.2908362348195155e-05,-324.5318522183352
