,p1 launch,p1 travel time [ns],s1 launch,s1 travel time [ns],p-s delta launch 1,p-s delta t 1 [ns],p2 launch,p2 travel time [ns],s2 launch,s2 travel time [ns],p-s delta launch 2,p-s delta t 2 [ns]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-200.0,1.2074766315775216,5768.294409773392,1.1962639114572928,5823.05960134191,0.01121272012022878,-54.765191568518276,1.3721483017944769,5756.683406590693,1.3816127548750978,5813.865054824734,-0.009464453080620938,-57.18164823404095
-400.0,0.889725710777366,6406.050758095738,0.887553667943635,6452.437690214486,0.0021720428337309583,-46.38693211874761,1.3459188642459046,5958.824262274715,1.346505451513122,6016.671614411245,-0.0005865872672174977,-57.84735213653039
-600.0,0.8178816951535768,7186.720284553405,0.8208601126617678,7235.723998934729,-0.0029784175081910558,-49.003714381324244,1.1818238408910147,6318.625047590752,1.1819769995222742,6373.675981668882,-0.00015315863125953122,-55.05093407813001
-800.0,0.7396479210818205,8034.941029928428,0.7397793515143153,8077.0798960974025,-0.00013143043249475017,-42.138866168974346,1.0265877637774274,6857.980675339729,1.026645315432396,6908.980962606012,-5.75516549685684e-05,-51.00028726628352
-1000.0,0.6638038942869766,8942.291373757527,0.6642127767130394,8986.608483365273,-0.00040888242606273995,-44.317109607745806,0.8939422273707053,7544.594570384406,0.8939686978190257,7591.152435798962,-2.647044832038148e-05,-46.557865414555636
-1200.0,0.5977874174736797,9910.10188061762,0.5978667790172776,9951.297273333616,-7.936154359788894e-05,-41.195392715995695,0.784054766913146,8343.558249462152,0.7840685394373796,8385.802452612485,-1.3772524233623962e-05,-42.244203150332396
-1400.0,0.693809622397057,9226.151753263232,0.6938174219843005,9264.458604370402,-7.7995872435066e-06,-38.30685110717059,0.6938096223970515,9226.151753263293,0.6938174219842945,9264.45860437047,-7.799587243062511e-06,-38.306851107176044
-1600.0,0.6195693931404163,10170.788291237019,0.6195741017148589,10205.611424387982,-4.708574442680025e-06,-34.82313315096326,0.6195693931404266,10170.788291236879,0.619574101714869,10205.61142438785,-4.70857444245798e-06,-34.823133150970534
-1800.0,0.5580798261931024,11161.798347606598,0.5580828173111346,11193.58281670547,-2.9911180322583775e-06,-31.78446909887134,0.5580798261934196,11161.798347601161,0.5580828173114538,11193.582816700007,-2.991118034256779e-06,-31.784469098845875
-2000.0,0.5066887523024898,12187.910658784283,0.5066907337548545,12217.057650860117,-1.98145236474101e-06,-29.146992075833623,0.5066887523024897,12187.910658784283,0.506690733754855,12217.057650860108,-1.9814523652961213e-06,-29.146992075824528
