,p1 launch,p1 travel time [ns],s1 launch,s1 travel time [ns],p-s delta launch 1,p-s delta t 1 [ns],p2 launch,p2 travel time [ns],s2 launch,s2 travel time [ns],p-s delta launch 2,p-s delta t 2 [ns]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-200.0,1.1973215399557602,5817.624542379633,1.1962639114572928,5823.05960134191,0.0010576284984673556,-5.435058962277253,1.3807287451109125,5808.135231519938,1.3816127548750978,5813.865054824734,-0.000884009764185345,-5.7298233047959
-400.0,0.8877686797336872,6447.834736324951,0.887553667943635,6452.437690214486,0.00021501179005223303,-4.602953889534547,1.3464477108293902,6010.889700518046,1.346505451513122,6016.671614411245,-5.774068373187724e-05,-5.781913893199089
-600.0,0.8191719545629614,7232.103792978624,0.8208601126617678,7235.723998934729,-0.0016881580988064027,-3.6202059561046553,1.1819619030692499,6368.181076477361,1.1819769995222742,6373.675981668882,-1.509645302433249e-05,-5.494905191520957
-800.0,0.739715072525452,8074.350005140835,0.7397793515143153,8077.0798960974025,-6.427898886329775e-05,-2.7298909565679423,1.0266396404707578,6903.899099034896,1.026645315432396,6908.980962606012,-5.6749616381690515e-06,-5.081863571116628
-1000.0,0.6640446869445557,8981.352676765186,0.6642127767130394,8986.608483365273,-0.0001680897684837035,-5.255806600087453,0.8939660872153926,7586.52111537342,0.8939686978190257,7591.152435798962,-2.6106036330464377e-06,-4.6313204255420715
-1200.0,0.597904738930934,9932.104148673092,0.5978667790172776,9951.297273333616,3.795991365640461e-05,-19.19312466052361,0.7840671810241784,8381.606488040585,0.7840685394373796,8385.802452612485,-1.3584132012578465e-06,-4.195964571899822
-1400.0,0.6938166526545965,9260.658385983965,0.6938174219843005,9264.458604370402,-7.693297040534119e-07,-3.8002183864373364,0.6938166526545908,9260.658385984027,0.6938174219842945,9264.45860437047,-7.69329703720345e-07,-3.8002183864427934
-1600.0,0.6195736372588757,10202.160193782354,0.6195741017148589,10205.611424387982,-4.6445598322897297e-07,-3.451230605627643,0.6195736372588864,10202.160193782203,0.619574101714869,10205.61142438785,-4.6445598267386146e-07,-3.451230605645833
-1800.0,0.5580825222593527,11190.435185845672,0.5580828173111346,11193.58281670547,-2.9505178189559444e-07,-3.147630859797573,0.5580825222596714,11190.435185840206,0.5580828173114538,11193.582816700007,-2.9505178245070596e-07,-3.147630859801211
-2000.0,0.5066905382961248,12214.172985560144,0.5066907337548545,12217.057650860117,-1.9545872975701428e-07,-2.8846652999727667,0.5066905382961245,12214.172985560152,0.506690733754855,12217.057650860108,-1.954587304231481e-07,-2.8846652999563958
