,p1 launch,p1 travel time [ns],s1 launch,s1 travel time [ns],p-s delta launch 1,p-s delta t 1 [ns],p2 launch,p2 travel time [ns],s2 launch,s2 travel time [ns],p-s delta launch 2,p-s delta t 2 [ns]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-200.0,0.0,0.0,1.1962639114572928,5823.05960134191,0.0,0.0,0.0,0.0,1.3816127548750978,5813.865054824734,0.0,0.0
-400.0,0.911769289119821,5951.683216331145,0.887553667943635,6452.437690214486,0.02421562117618603,-500.75447388334123,1.3395465467409455,5435.509566768392,1.346505451513122,6016.671614411245,-0.006958904772176533,-581.1620476428534
-600.0,0.8001669183501305,6778.850070208701,0.8208601126617678,7235.723998934729,-0.020693194311637297,-456.87392872602777,1.1801898450736479,5813.104410942022,1.1819769995222742,6373.675981668882,-0.0017871544486263158,-560.57157072686
-800.0,0.7322641397347813,7644.903619502388,0.7397793515143153,8077.0798960974025,-0.007515211779533959,-432.1762765950143,1.0259769262382454,6380.648475286777,1.026645315432396,6908.980962606012,-0.000668389194150576,-528.332487319235
-1000.0,0.6604359378450576,8586.438370990336,0.6642127767130394,8986.608483365273,-0.0037768388679817466,-400.17011237493716,0.8936619006165094,7100.358489298584,0.8939686978190257,7591.152435798962,-0.0003067972025162513,-490.7939465003783
-1200.0,0.7839090809695508,7933.475245661952,0.5978667790172776,9951.297273333616,0.18604230195227323,-2017.8220276716638,0.7839090809694859,7933.475245662485,0.7840685394373796,8385.802452612485,-0.0001594584678937805,-452.3272069499999
-1400.0,0.6937271733350888,8848.883972075413,0.6938174219843005,9264.458604370402,-9.02486492116994e-05,-415.574632294989,0.6937271733350836,8848.883972075473,0.6938174219842945,9264.45860437047,-9.024864921092224e-05,-415.57463229499626
-1600.0,0.6195196400032505,9823.789407812701,0.6195741017148589,10205.611424387982,-5.4461711608388974e-05,-381.82201657528094,0.6195196400032598,9823.789407812572,0.619574101714869,10205.61142438785,-5.446171160927715e-05,-381.8220165752773
-1800.0,0.558048229500421,10842.09225036079,0.5580828173111346,11193.58281670547,-3.45878107136377e-05,-351.4905663446789,0.5580482295007193,10842.09225035554,0.5580828173114538,11193.582816700007,-3.4587810734509894e-05,-351.4905663444679
-2000.0,0.5066678253925613,11892.525798640592,0.5066907337548545,12217.057650860117,-2.2908362293239115e-05,-324.5318522195248,0.5066678253925068,11892.525798641773,0.506690733754855,12217.057650860108,-2.2908362348195155e-05,-324.5318522183352
